date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-28,BLR,Belarus,1,0,0
2020-02-29,BLR,Belarus,1,0,0
2020-03-01,BLR,Belarus,1,0,0
2020-03-02,BLR,Belarus,1,0,0
2020-03-03,BLR,Belarus,4,0,0
2020-03-04,BLR,Belarus,10,0,0
2020-03-05,BLR,Belarus,10,0,0
2020-03-06,BLR,Belarus,10,0,0
2020-03-07,BLR,Belarus,10,0,1
2020-03-08,BLR,Belarus,10,0,1
2020-03-09,BLR,Belarus,10,0,1
2020-03-10,BLR,Belarus,10,0,3
2020-03-11,BLR,Belarus,10,0,3
2020-03-12,BLR,Belarus,21,0,3
2020-03-13,BLR,Belarus,27,0,3
2020-03-14,BLR,Belarus,27,0,3
2020-03-15,BLR,Belarus,27,0,3
2020-03-16,BLR,Belarus,36,0,3
2020-03-17,BLR,Belarus,36,0,3
2020-03-18,BLR,Belarus,51,0,5
2020-03-19,BLR,Belarus,51,0,5
2020-03-20,BLR,Belarus,69,0,15
2020-03-21,BLR,Belarus,76,0,15
