date,country_code,country_name,total_cases,total_deaths
2020-02-25,BRA,Brazil,1,0
2020-02-26,BRA,Brazil,1,0
2020-02-27,BRA,Brazil,1,0
2020-02-28,BRA,Brazil,1,0
2020-02-29,BRA,Brazil,2,0
2020-03-01,BRA,Brazil,2,0
2020-03-02,BRA,Brazil,2,0
2020-03-03,BRA,Brazil,2,0
2020-03-04,BRA,Brazil,4,0
2020-03-05,BRA,Brazil,8,0
2020-03-06,BRA,Brazil,13,0
2020-03-07,BRA,Brazil,19,0
2020-03-08,BRA,Brazil,25,0
2020-03-09,BRA,Brazil,30,0
2020-03-10,BRA,Brazil,34,0
2020-03-11,BRA,Brazil,52,0
2020-03-12,BRA,Brazil,77,0
2020-03-13,BRA,Brazil,98,0
2020-03-14,BRA,Brazil,121,0
2020-03-15,BRA,Brazil,200,0
2020-03-16,BRA,Brazil,234,0
2020-03-17,BRA,Brazil,291,1
2020-03-18,BRA,Brazil,428,4
2020-03-19,BRA,Brazil,621,7
2020-03-20,BRA,Brazil,904,11
