date,country_code,country_name,total_cases,total_deaths
2020-02-27,DNK,Denmark,1,0
2020-02-28,DNK,Denmark,2,0
2020-02-29,DNK,Denmark,3,0
2020-03-01,DNK,Denmark,4,0
2020-03-02,DNK,Denmark,4,0
2020-03-03,DNK,Denmark,10,0
2020-03-04,DNK,Denmark,15,0
2020-03-05,DNK,Denmark,20,0
2020-03-06,DNK,Denmark,23,0
2020-03-07,DNK,Denmark,29,0
2020-03-08,DNK,Denmark,37,0
2020-03-09,DNK,Denmark,92,0
2020-03-10,DNK,Denmark,264,0
2020-03-11,DNK,Denmark,516,0
2020-03-12,DNK,Denmark,676,1
2020-03-13,DNK,Denmark,804,1
2020-03-14,DNK,Denmark,836,2
2020-03-15,DNK,Denmark,875,2
2020-03-16,DNK,Denmark,932,4
2020-03-17,DNK,Denmark,1024,4
2020-03-18,DNK,Denmark,1115,4
2020-03-19,DNK,Denmark,1223,6
