date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-25,HRV,Croatia,1,0,0
2020-02-26,HRV,Croatia,3,0,0
2020-02-27,HRV,Croatia,3,0,0
2020-02-28,HRV,Croatia,5,0,0
2020-02-29,HRV,Croatia,7,0,0
2020-03-01,HRV,Croatia,7,0,0
2020-03-02,HRV,Croatia,8,0,0
2020-03-03,HRV,Croatia,9,0,0
2020-03-04,HRV,Croatia,9,0,0
2020-03-05,HRV,Croatia,10,0,0
2020-03-06,HRV,Croatia,11,0,0
2020-03-07,HRV,Croatia,12,0,0
2020-03-08,HRV,Croatia,12,0,0
2020-03-09,HRV,Croatia,13,0,0
2020-03-10,HRV,Croatia,15,0,0
2020-03-11,HRV,Croatia,19,0,0
2020-03-12,HRV,Croatia,27,0,1
2020-03-13,HRV,Croatia,32,0,1
2020-03-14,HRV,Croatia,39,0,2
2020-03-15,HRV,Croatia,49,0,2
2020-03-16,HRV,Croatia,56,0,4
2020-03-17,HRV,Croatia,69,0,5
2020-03-18,HRV,Croatia,89,0,5
2020-03-19,HRV,Croatia,105,0,5
2020-03-20,HRV,Croatia,128,0,5
2020-03-21,HRV,Croatia,206,0,5
2020-03-22,HRV,Croatia,254,0,5
