date,country_code,country_name,total_cases,total_deaths
2020-02-19,IRN,Iran,2,2
2020-02-20,IRN,Iran,5,2
2020-02-21,IRN,Iran,18,4
2020-02-22,IRN,Iran,28,5
2020-02-23,IRN,Iran,43,8
2020-02-24,IRN,Iran,64,12
2020-02-25,IRN,Iran,95,15
2020-02-26,IRN,Iran,139,19
2020-02-27,IRN,Iran,245,26
2020-02-28,IRN,Iran,388,34
2020-02-29,IRN,Iran,593,43
2020-03-01,IRN,Iran,978,54
2020-03-02,IRN,Iran,1501,66
2020-03-03,IRN,Iran,2336,77
2020-03-04,IRN,Iran,2922,92
2020-03-05,IRN,Iran,3513,107
2020-03-06,IRN,Iran,4747,124
2020-03-07,IRN,Iran,5823,145
2020-03-08,IRN,Iran,6566,194
2020-03-09,IRN,Iran,7161,237
2020-03-10,IRN,Iran,8042,291
2020-03-11,IRN,Iran,9000,354
2020-03-12,IRN,Iran,10075,429
2020-03-13,IRN,Iran,11364,514
2020-03-14,IRN,Iran,12729,611
2020-03-15,IRN,Iran,13938,724
2020-03-16,IRN,Iran,14991,853
2020-03-17,IRN,Iran,16169,988
2020-03-18,IRN,Iran,17361,1135
2020-03-19,IRN,Iran,18407,1284
