date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-28,NZL,New Zealand,1,0,0
2020-02-29,NZL,New Zealand,1,0,0
2020-03-01,NZL,New Zealand,1,0,0
2020-03-02,NZL,New Zealand,1,0,0
2020-03-03,NZL,New Zealand,1,0,0
2020-03-04,NZL,New Zealand,2,0,0
2020-03-05,NZL,New Zealand,4,0,0
2020-03-06,NZL,New Zealand,4,0,0
2020-03-07,NZL,New Zealand,5,0,0
2020-03-08,NZL,New Zealand,5,0,0
2020-03-09,NZL,New Zealand,5,0,0
2020-03-10,NZL,New Zealand,5,0,0
2020-03-11,NZL,New Zealand,5,0,0
2020-03-12,NZL,New Zealand,5,0,0
2020-03-13,NZL,New Zealand,5,0,0
2020-03-14,NZL,New Zealand,6,0,0
2020-03-15,NZL,New Zealand,8,0,1
2020-03-16,NZL,New Zealand,8,0,1
2020-03-17,NZL,New Zealand,12,0,1
2020-03-18,NZL,New Zealand,20,0,1
2020-03-19,NZL,New Zealand,28,0,1
2020-03-20,NZL,New Zealand,39,0,1
2020-03-21,NZL,New Zealand,52,0,1
2020-03-22,NZL,New Zealand,66,0,1
2020-03-23,NZL,New Zealand,102,0,12
2020-03-24,NZL,New Zealand,155,0,12
