date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-02-26,ROU,Romania,1,0,0
2020-02-27,ROU,Romania,1,0,0
2020-02-28,ROU,Romania,3,0,1
2020-02-29,ROU,Romania,3,0,1
2020-03-01,ROU,Romania,3,0,1
2020-03-02,ROU,Romania,3,0,1
2020-03-03,ROU,Romania,4,0,1
2020-03-04,ROU,Romania,6,0,1
2020-03-05,ROU,Romania,6,0,1
2020-03-06,ROU,Romania,9,0,3
2020-03-07,ROU,Romania,13,0,4
2020-03-08,ROU,Romania,15,0,5
2020-03-09,ROU,Romania,17,0,5
2020-03-10,ROU,Romania,29,0,5
2020-03-11,ROU,Romania,47,0,7
2020-03-12,ROU,Romania,59,0,7
2020-03-13,ROU,Romania,95,0,7
2020-03-14,ROU,Romania,123,0,9
2020-03-15,ROU,Romania,139,0,9
2020-03-16,ROU,Romania,168,0,9
2020-03-17,ROU,Romania,217,0,19
2020-03-18,ROU,Romania,260,0,19
2020-03-19,ROU,Romania,277,0,25
2020-03-20,ROU,Romania,308,0,31
2020-03-21,ROU,Romania,367,0,52
2020-03-22,ROU,Romania,433,3,64
2020-03-23,ROU,Romania,576,7,73
2020-03-24,ROU,Romania,762,8,79
