date,country_code,country_name,total_cases,total_deaths
2020-01-31,SWE,Sweden,1,0
2020-02-01,SWE,Sweden,1,0
2020-02-02,SWE,Sweden,1,0
2020-02-03,SWE,Sweden,1,0
2020-02-04,SWE,Sweden,1,0
2020-02-05,SWE,Sweden,1,0
2020-02-06,SWE,Sweden,1,0
2020-02-07,SWE,Sweden,1,0
2020-02-08,SWE,Sweden,1,0
2020-02-09,SWE,Sweden,1,0
2020-02-10,SWE,Sweden,1,0
2020-02-11,SWE,Sweden,1,0
2020-02-12,SWE,Sweden,1,0
2020-02-13,SWE,Sweden,1,0
2020-02-14,SWE,Sweden,1,0
2020-02-15,SWE,Sweden,1,0
2020-02-16,SWE,Sweden,1,0
2020-02-17,SWE,Sweden,1,0
2020-02-18,SWE,Sweden,1,0
2020-02-19,SWE,Sweden,1,0
2020-02-20,SWE,Sweden,1,0
2020-02-21,SWE,Sweden,1,0
2020-02-22,SWE,Sweden,1,0
2020-02-23,SWE,Sweden,1,0
2020-02-24,SWE,Sweden,1,0
2020-02-25,SWE,Sweden,1,0
2020-02-26,SWE,Sweden,2,0
2020-02-27,SWE,Sweden,7,0
2020-02-28,SWE,Sweden,11,0
2020-02-29,SWE,Sweden,13,0
2020-03-01,SWE,Sweden,14,0
2020-03-02,SWE,Sweden,15,0
2020-03-03,SWE,Sweden,30,0
2020-03-04,SWE,Sweden,52,0
2020-03-05,SWE,Sweden,94,0
2020-03-06,SWE,Sweden,137,0
2020-03-07,SWE,Sweden,161,0
2020-03-08,SWE,Sweden,203,0
2020-03-09,SWE,Sweden,260,0
2020-03-10,SWE,Sweden,356,0
2020-03-11,SWE,Sweden,500,1
2020-03-12,SWE,Sweden,687,0
2020-03-13,SWE,Sweden,814,0
2020-03-14,SWE,Sweden,941,2
2020-03-15,SWE,Sweden,1032,3
2020-03-16,SWE,Sweden,1121,6
2020-03-17,SWE,Sweden,1196,6
2020-03-18,SWE,Sweden,1292,10
