date,country_code,country_name,total_cases,total_deaths
2020-01-21,USA,United States,1,0
2020-01-22,USA,United States,1,0
2020-01-23,USA,United States,1,0
2020-01-24,USA,United States,2,0
2020-01-25,USA,United States,3,0
2020-01-26,USA,United States,5,0
2020-01-27,USA,United States,5,0
2020-01-28,USA,United States,5,0
2020-01-29,USA,United States,5,0
2020-01-30,USA,United States,6,0
2020-01-31,USA,United States,7,0
2020-02-01,USA,United States,8,0
2020-02-02,USA,United States,11,0
2020-02-03,USA,United States,11,0
2020-02-04,USA,United States,11,0
2020-02-05,USA,United States,12,0
2020-02-06,USA,United States,12,0
2020-02-07,USA,United States,12,0
2020-02-08,USA,United States,12,0
2020-02-09,USA,United States,12,0
2020-02-10,USA,United States,12,0
2020-02-11,USA,United States,12,0
2020-02-12,USA,United States,12,0
2020-02-13,USA,United States,12,0
2020-02-14,USA,United States,12,0
2020-02-15,USA,United States,12,0
2020-02-16,USA,United States,12,0
2020-02-17,USA,United States,12,0
2020-02-18,USA,United States,12,0
2020-02-19,USA,United States,12,0
2020-02-20,USA,United States,14,0
2020-02-21,USA,United States,14,0
2020-02-22,USA,United States,14,0
2020-02-23,USA,United States,14,0
2020-02-24,USA,United States,14,0
2020-02-25,USA,United States,14,0
2020-02-26,USA,United States,15,0
2020-02-27,USA,United States,15,0
2020-02-28,USA,United States,19,0
2020-02-29,USA,United States,23,1
2020-03-01,USA,United States,40,2
2020-03-02,USA,United States,51,6
2020-03-03,USA,United States,76,9
2020-03-04,USA,United States,99,12
2020-03-05,USA,United States,163,12
2020-03-06,USA,United States,234,18
2020-03-07,USA,United States,334,19
2020-03-08,USA,United States,475,22
2020-03-09,USA,United States,619,26
2020-03-10,USA,United States,905,31
2020-03-11,USA,United States,1167,38
2020-03-12,USA,United States,1556,42
2020-03-13,USA,United States,2114,49
2020-03-14,USA,United States,2769,56
2020-03-15,USA,United States,3435,62
2020-03-16,USA,United States,4297,75
2020-03-17,USA,United States,5560,96
2020-03-18,USA,United States,7952,122
2020-03-19,USA,United States,11808,172
2020-03-20,USA,United States,16009,181
