date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-01-23,VNM,Vietnam,2,0,0
2020-01-24,VNM,Vietnam,2,0,0
2020-01-25,VNM,Vietnam,2,0,0
2020-01-26,VNM,Vietnam,2,0,0
2020-01-27,VNM,Vietnam,2,0,0
2020-01-28,VNM,Vietnam,2,0,1
2020-01-29,VNM,Vietnam,2,0,1
2020-01-30,VNM,Vietnam,2,0,1
2020-01-31,VNM,Vietnam,5,0,1
2020-02-01,VNM,Vietnam,6,0,1
2020-02-02,VNM,Vietnam,7,0,1
2020-02-03,VNM,Vietnam,8,0,2
2020-02-04,VNM,Vietnam,10,0,3
2020-02-05,VNM,Vietnam,10,0,3
2020-02-06,VNM,Vietnam,12,0,3
2020-02-07,VNM,Vietnam,13,0,3
2020-02-08,VNM,Vietnam,13,0,3
2020-02-09,VNM,Vietnam,14,0,3
2020-02-10,VNM,Vietnam,14,0,6
2020-02-11,VNM,Vietnam,15,0,6
2020-02-12,VNM,Vietnam,15,0,7
2020-02-13,VNM,Vietnam,16,0,7
2020-02-14,VNM,Vietnam,16,0,7
2020-02-15,VNM,Vietnam,16,0,7
2020-02-16,VNM,Vietnam,16,0,7
2020-02-17,VNM,Vietnam,16,0,7
2020-02-18,VNM,Vietnam,16,0,11
2020-02-19,VNM,Vietnam,16,0,14
2020-02-20,VNM,Vietnam,16,0,15
2020-02-21,VNM,Vietnam,16,0,15
2020-02-22,VNM,Vietnam,16,0,15
2020-02-23,VNM,Vietnam,16,0,15
2020-02-24,VNM,Vietnam,16,0,15
2020-02-25,VNM,Vietnam,16,0,15
2020-02-26,VNM,Vietnam,16,0,16
2020-02-27,VNM,Vietnam,16,0,16
2020-02-28,VNM,Vietnam,16,0,16
2020-02-29,VNM,Vietnam,16,0,16
2020-03-01,VNM,Vietnam,16,0,16
2020-03-02,VNM,Vietnam,16,0,16
2020-03-03,VNM,Vietnam,16,0,16
2020-03-04,VNM,Vietnam,16,0,16
2020-03-05,VNM,Vietnam,16,0,16
2020-03-06,VNM,Vietnam,17,0,16
2020-03-07,VNM,Vietnam,20,0,16
2020-03-08,VNM,Vietnam,30,0,16
2020-03-09,VNM,Vietnam,31,0,16
2020-03-10,VNM,Vietnam,34,0,16
2020-03-11,VNM,Vietnam,38,0,16
2020-03-12,VNM,Vietnam,44,0,16
2020-03-13,VNM,Vietnam,47,0,16
2020-03-14,VNM,Vietnam,53,0,16
2020-03-15,VNM,Vietnam,57,0,16
2020-03-16,VNM,Vietnam,61,0,16
2020-03-17,VNM,Vietnam,66,0,16
2020-03-18,VNM,Vietnam,76,0,16
2020-03-19,VNM,Vietnam,85,0,16
2020-03-20,VNM,Vietnam,91,0,17
2020-03-21,VNM,Vietnam,94,0,17
2020-03-22,VNM,Vietnam,113,0,17
2020-03-23,VNM,Vietnam,123,0,17
